weight,fighter1,fighter2,method,round_end,time,date,event
"Catchweight (140 lbs)
","Cris Cyborg
","Leslie Smith
","TKO (punches)
","1
","1:21
","May 14, 2016",UFC 198
"Light Heavyweight
","Maurício Rua
","Corey Anderson
","Decision (split) (28-29, 29-28, 29-28)
","3
","5:00
","May 14, 2016",UFC 198
"Welterweight
","Bryan Barberena
","Warlley Alves
","Decision (unanimous) (29-28, 29-28, 29-28)
","3
","5:00
","May 14, 2016",UFC 198
"Welterweight
","Demian Maia
","Matt Brown
","Submission (rear-naked choke)
","3
","4:31
","May 14, 2016",UFC 198
"Middleweight
","Thiago Santos
","Nate Marquardt
","KO (punches)
","1
","3:39
","May 14, 2016",UFC 198
"Lightweight
","Francisco Trinaldo
","Yancy Medeiros
","Decision (unanimous) (29-26, 30-27, 30-26)
","3
","5:00
","May 14, 2016",UFC 198
"Bantamweight
","John Lineker
","Rob Font
","Decision (unanimous) (30-27, 29-28, 30-26)
","3
","5:00
","May 14, 2016",UFC 198
"Light Heavyweight
","Antônio Rogério Nogueira
","Patrick Cummins
","TKO (punches)
","1
","4:52
","May 14, 2016",UFC 198
"Welterweight
","Sérgio Moraes
","Luan Chagas
","Draw (split) (29-28, 28-29, 28-28)
","3
","5:00
","May 14, 2016",UFC 198
"Featherweight
","Renato Moicano
","Zubaira Tukhugov
","Decision (split) (28-29, 29-28, 29-28)
","3
","5:00
","May 14, 2016",UFC 198
"Heavyweight
","Alistair Overeem
","Andrei Arlovski
","TKO (crane kick and punches)
","2
","1:12
","May 8, 2016",UFC Fight Night: Overeem vs. Arlovski
"Heavyweight
","Stefan Struve
","Antônio Silva
","KO (elbows)
","1
","0:16
","May 8, 2016",UFC Fight Night: Overeem vs. Arlovski
"Welterweight
","Gunnar Nelson
","Albert Tumenov
","Submission (neck crank)
","2
","3:15
","May 8, 2016",UFC Fight Night: Overeem vs. Arlovski
"Women's Bantamweight
","Germaine de Randamie
","Anna Elmose
","TKO (knee to the body and punches)
","1
","3:46
","May 8, 2016",UFC Fight Night: Overeem vs. Arlovski
"Light Heavyweight
","Nikita Krylov
","Francimar Barroso
","Submission (rear-naked choke)
","2
","3:11
","May 8, 2016",UFC Fight Night: Overeem vs. Arlovski
"Women's Strawweight
","Karolina Kowalkiewicz
","Heather Jo Clark
","Decision (unanimous) (29-28, 29-28, 30-27)
","3
","5:00
","May 8, 2016",UFC Fight Night: Overeem vs. Arlovski
"Lightweight
","Rustam Khabilov
","Chris Wade
","Decision (unanimous) (30-27, 29-28, 29-28)
","3
","5:00
","May 8, 2016",UFC Fight Night: Overeem vs. Arlovski
"Middleweight
","Magnus Cedenblad
","Garreth McLellan
","TKO (head kick and punches)
","2
","0:47
","May 8, 2016",UFC Fight Night: Overeem vs. Arlovski
"Lightweight
","Josh Emmett
","Jon Tuck
","Decision (split) (29-28, 28-29, 29-28)
","3
","5:00
","May 8, 2016",UFC Fight Night: Overeem vs. Arlovski
"Lightweight
","Reza Madadi
","Yan Cabral
","TKO (punches)
","3
","1:56
","May 8, 2016",UFC Fight Night: Overeem vs. Arlovski
"Flyweight
","Kyoji Horiguchi
","Neil Seery
","Decision (unanimous) (30-26, 30-27, 30-27)
","3
","5:00
","May 8, 2016",UFC Fight Night: Overeem vs. Arlovski
"Welterweight
","Leon Edwards
","Dominic Waters
","Decision (unanimous) (30-27, 30-27, 30-27)
","3
","5:00
","May 8, 2016",UFC Fight Night: Overeem vs. Arlovski
"Flyweight
","Ulka Sasaki
","Willie Gates
","Submission (rear-naked choke)
","2
","3:30
","May 8, 2016",UFC Fight Night: Overeem vs. Arlovski
"Light Heavyweight
","Jon Jones
","Ovince Saint Preux
","Decision (unanimous) (50-44, 50-45, 50-45)
","5
","5:00
","Apr 23, 2016",UFC 197
"Flyweight
","Demetrious Johnson (c)
","Henry Cejudo
","TKO (knees and punches)
","1
","2:49
","Apr 23, 2016",UFC 197
"Lightweight
","Edson Barboza
","Anthony Pettis
","Decision (unanimous) (29-28, 29-28, 30-27)
","3
","5:00
","Apr 23, 2016",UFC 197
"Middleweight
","Robert Whittaker
","Rafael Natal
","Decision (unanimous) (29-28, 30-27, 30-27)
","3
","5:00
","Apr 23, 2016",UFC 197
"Featherweight
","Yair Rodríguez
","Andre Fili
","KO (flying head kick)
","2
","2:15
","Apr 23, 2016",UFC 197
"Flyweight
","Sergio Pettis
","Chris Kelades
","Decision (unanimous) (30-27, 30-27, 30-27)
","3
","5:00
","Apr 23, 2016",UFC 197
"Welterweight
","Danny Roberts
","Dominique Steele
","Decision (unanimous) (29-28, 29-28, 29-28)
","3
","5:00
","Apr 23, 2016",UFC 197
"Women's Strawweight
","Carla Esparza
","Juliana Lima
","Decision (unanimous) (30-27, 30-27, 30-27)
","3
","5:00
","Apr 23, 2016",UFC 197
"Lightweight
","James Vick
","Glaico França
","Decision (unanimous) (29-28, 29-28, 30-27)
","3
","5:00
","Apr 23, 2016",UFC 197
"Heavyweight
","Walt Harris
","Cody East
","TKO (punches)
","1
","4:18
","Apr 23, 2016",UFC 197
"Light Heavyweight
","Marcos Rogério de Lima
","Clint Hester
","Submission (arm-triangle choke)
","1
","4:35
","Apr 23, 2016",UFC 197
"Lightweight
","Kevin Lee
","Efrain Escudero
","Decision (unanimous) (29-28, 29-28, 29-28)
","3
","5:00
","Apr 23, 2016",UFC 197
"Light Heavyweight
","Glover Teixeira
","Rashad Evans
","KO (punch)
","1
","1:48
","Apr 16, 2016",UFC on Fox: Teixeira vs. Evans
"Women's Strawweight
","Rose Namajunas
","Tecia Torres
","Decision (unanimous) (29-28, 29-28, 29-28)
","3
","5:00
","Apr 16, 2016",UFC on Fox: Teixeira vs. Evans
"Catchweight (160 lbs)
","Khabib Nurmagomedov
","Darrell Horcher
","TKO (punches)
","2
","3:38
","Apr 16, 2016",UFC on Fox: Teixeira vs. Evans
"Featherweight
","Cub Swanson
","Hacran Dias
","Decision (unanimous) (29-28, 29-28, 29-28)
","3
","5:00
","Apr 16, 2016",UFC on Fox: Teixeira vs. Evans
"Lightweight
","Michael Chiesa
","Beneil Dariush
","Submission (rear-naked choke)
","2
","1:20
","Apr 16, 2016",UFC on Fox: Teixeira vs. Evans
"Women's Bantamweight
","Raquel Pennington
","Bethe Correia
","Decision (split) (29-28, 28-29, 29-28)
","3
","5:00
","Apr 16, 2016",UFC on Fox: Teixeira vs. Evans
"Welterweight
","Santiago Ponzinibbio
","Court McGee
","TKO (punches)
","1
","4:15
","Apr 16, 2016",UFC on Fox: Teixeira vs. Evans
"Welterweight
","Michael Graves
","Randy Brown
","Submission (rear-naked choke)
","2
","2:31
","Apr 16, 2016",UFC on Fox: Teixeira vs. Evans
"Bantamweight
","John Dodson
","Manvel Gamburyan
","TKO (punches)
","1
","0:37
","Apr 16, 2016",UFC on Fox: Teixeira vs. Evans
"Middleweight
","Cezar Ferreira
","Oluwale Bamgbose
","Decision (unanimous) (29-28, 29-28, 29-27)
","3
","5:00
","Apr 16, 2016",UFC on Fox: Teixeira vs. Evans
"Welterweight
","Elizeu Zaleski dos Santos
","Omari Akhmedov
","TKO (knees)
","3
","3:03
","Apr 16, 2016",UFC on Fox: Teixeira vs. Evans
"Heavyweight
","Junior dos Santos
","Ben Rothwell
","Decision (unanimous) (50-45, 50-45, 50-45)
","5
","5:00
","Apr 10, 2016",UFC Fight Night: Rothwell vs. dos Santos
"Heavyweight
","Derrick Lewis
","Gabriel Gonzaga
","KO (punches)
","1
","4:48
","Apr 10, 2016",UFC Fight Night: Rothwell vs. dos Santos
"Heavyweight
","Francis Ngannou
","Curtis Blaydes
","TKO (doctor stoppage)
","2
","5:00
","Apr 10, 2016",UFC Fight Night: Rothwell vs. dos Santos
"Heavyweight
","Timothy Johnson
","Marcin Tybura
","Decision (unanimous) (29-28, 29-28, 29-28)
","3
","5:00
","Apr 10, 2016",UFC Fight Night: Rothwell vs. dos Santos
"Light Heavyweight
","Jan Błachowicz
","Igor Pokrajac
","Decision (unanimous) (29-28, 29-28, 29-28)
","3
","5:00
","Apr 10, 2016",UFC Fight Night: Rothwell vs. dos Santos
"Women's Strawweight
","Maryna Moroz
","Cristina Stanciu
","Decision (unanimous) (30-27, 30-27, 30-27)
","3
","5:00
","Apr 10, 2016",UFC Fight Night: Rothwell vs. dos Santos
"Welterweight
","Zak Cummings
","Nicolas Dalby
","Decision (unanimous) (30-27, 30-27, 30-27)
","3
","5:00
","Apr 10, 2016",UFC Fight Night: Rothwell vs. dos Santos
"Bantamweight
","Alejandro Pérez
","Ian Entwistle
","TKO (punches and elbows)
","1
","4:04
","Apr 10, 2016",UFC Fight Night: Rothwell vs. dos Santos
"Lightweight
","Mairbek Taisumov
","Damir Hadžović
","TKO (punch)
","1
","3:44
","Apr 10, 2016",UFC Fight Night: Rothwell vs. dos Santos
"Bantamweight
","Damian Stasiak
","Filip Pejić
","Submission (rear-naked choke)
","1
","2:16
","Apr 10, 2016",UFC Fight Night: Rothwell vs. dos Santos
"Featherweight
","Lucas Martins
","Robert Whiteford
","Decision (split) (29-28, 28-29, 30-27)
","3
","5:00
","Apr 10, 2016",UFC Fight Night: Rothwell vs. dos Santos
"Heavyweight
","Jared Cannonier
","Cyril Asker
","KO (punches and elbows)
","1
","2:44
","Apr 10, 2016",UFC Fight Night: Rothwell vs. dos Santos
"Middleweight
","Bojan Veličković
","Alessio Di Chirico
","Decision (unanimous) (29-28, 29-28, 30-27)
","3
","5:00
","Apr 10, 2016",UFC Fight Night: Rothwell vs. dos Santos
"Heavyweight
","Mark Hunt
","Frank Mir
","KO (punch)
","1
","3:01
","Mar 20, 2016",UFC Fight Night: Hunt vs. Mir
"Welterweight
","Neil Magny
","Hector Lombard
","TKO (punches)
","3
","0:46
","Mar 20, 2016",UFC Fight Night: Hunt vs. Mir
"Lightweight
","Jake Matthews
","Johnny Case
","Submission (rear-naked choke)
","3
","4:45
","Mar 20, 2016",UFC Fight Night: Hunt vs. Mir
"Middleweight
","Dan Kelly
","Antônio Carlos Júnior
","TKO (punches)
","3
","1:36
","Mar 20, 2016",UFC Fight Night: Hunt vs. Mir
"Light Heavyweight
","Steve Bossé
","James Te Huna
","KO (punch)
","1
","0:52
","Mar 20, 2016",UFC Fight Night: Hunt vs. Mir
"Women's Strawweight
","Bec Rawlings
","Seo Hee Ham
","Decision (unanimous) (30-27, 30-27, 29-28)
","3
","5:00
","Mar 20, 2016",UFC Fight Night: Hunt vs. Mir
"Welterweight
","Alan Jouban
","Brendan O'Reilly
","TKO (elbows and punches)
","1
","2:15
","Mar 20, 2016",UFC Fight Night: Hunt vs. Mir
"Featherweight
","Dan Hooker
","Mark Eddiva
","Submission (guillotine choke)
","1
","1:24
","Mar 20, 2016",UFC Fight Night: Hunt vs. Mir
"Women's Bantamweight
","Leslie Smith
","Rin Nakai
","Decision (unanimous) (30-27, 29-28, 29-28)
","3
","5:00
","Mar 20, 2016",UFC Fight Night: Hunt vs. Mir
"Welterweight
","Viscardi Andrade
","Richard Walsh
","Decision (unanimous) (29-28, 29-28, 29-28)
","3
","5:00
","Mar 20, 2016",UFC Fight Night: Hunt vs. Mir
"Lightweight
","Ross Pearson
","Chad Laprise
","Decision (split) (28-30, 30-27, 29-28)
","3
","5:00
","Mar 20, 2016",UFC Fight Night: Hunt vs. Mir
"Lightweight
","Alan Patrick
","Damien Brown
","Decision (unanimous) (30-26, 30-27, 30-27)
","3
","5:00
","Mar 20, 2016",UFC Fight Night: Hunt vs. Mir
"Welterweight
","Nate Diaz
","Conor McGregor
","Submission (rear-naked choke)
","2
","4:12
","Mar 5, 2016",UFC 196
"Women's Bantamweight
","Miesha Tate
","Holly Holm (c)
","Technical Submission (rear-naked choke)
","5
","3:30
","Mar 5, 2016",UFC 196
"Light Heavyweight
","Ilir Latifi
","Gian Villante
","Decision (unanimous) (30-27, 30-27, 30-27)
","3
","5:00
","Mar 5, 2016",UFC 196
"Light Heavyweight
","Corey Anderson
","Tom Lawlor
","Decision (unanimous) (30-27, 30-27, 29-28)
","3
","5:00
","Mar 5, 2016",UFC 196
"Women's Bantamweight
","Amanda Nunes
","Valentina Shevchenko
","Decision (unanimous) (29-28, 29-27, 29-27)
","3
","5:00
","Mar 5, 2016",UFC 196
"Welterweight
","Siyar Bahadurzada
","Brandon Thatch
","Submission (arm-triangle choke)
","3
","4:11
","Mar 5, 2016",UFC 196
"Welterweight
","Nordine Taleb
","Erick Silva
","KO (punches)
","2
","1:34
","Mar 5, 2016",UFC 196
"Middleweight
","Vitor Miranda
","Marcelo Guimarães
","TKO (head kick and punches)
","2
","1:09
","Mar 5, 2016",UFC 196
"Featherweight
","Darren Elkins
","Chas Skelly
","Decision (unanimous) (30-27, 29-27, 30-26)
","3
","5:00
","Mar 5, 2016",UFC 196
"Lightweight
","Diego Sanchez
","Jim Miller
","Decision (unanimous) (29-28, 29-28, 29-28)
","3
","5:00
","Mar 5, 2016",UFC 196
"Lightweight
","Jason Saggo
","Justin Salas
","TKO (punches)
","1
","4:31
","Mar 5, 2016",UFC 196
"Featherweight
","Teruto Ishihara
","Julian Erosa
","KO (punches)
","2
","0:34
","Mar 5, 2016",UFC 196
"Middleweight
","Michael Bisping
","Anderson Silva
","Decision (unanimous) (48–47, 48–47, 48–47)
","5
","5:00
","Feb 27, 2016",UFC Fight Night: Silva vs. Bisping
"Middleweight
","Gegard Mousasi
","Thales Leites
","Decision (unanimous) (30–27, 29–28, 30–27)
","3
","5:00
","Feb 27, 2016",UFC Fight Night: Silva vs. Bisping
"Welterweight
","Tom Breese
","Keita Nakamura
","Decision (unanimous) (30–27, 30–27, 29–28)
","3
","5:00
","Feb 27, 2016",UFC Fight Night: Silva vs. Bisping
"Bantamweight
","Brad Pickett
","Francisco Rivera
","Decision (split) (29–28, 28–29, 29–28)
","3
","5:00
","Feb 27, 2016",UFC Fight Night: Silva vs. Bisping
"Featherweight
","Makwan Amirkhani
","Mike Wilkinson
","Decision (unanimous) (29–28, 30–27, 29–28)
","3
","5:00
","Feb 27, 2016",UFC Fight Night: Silva vs. Bisping
"Bantamweight
","Davey Grant
","Marlon Vera
","Decision (unanimous) (30–26, 30–26, 30–26)
","3
","5:00
","Feb 27, 2016",UFC Fight Night: Silva vs. Bisping
"Middleweight
","Scott Askham
","Chris Dempsey
","KO (punch and head kick)
","1
","4:45
","Feb 27, 2016",UFC Fight Night: Silva vs. Bisping
"Featherweight
","Arnold Allen
","Yaotzin Meza
","Decision (unanimous) (30–27, 30–27, 30–27)
","3
","5:00
","Feb 27, 2016",UFC Fight Night: Silva vs. Bisping
"Middleweight
","Krzysztof Jotko
","Brad Scott
","Decision (unanimous) (29–28, 30–27, 29–28)
","3
","5:00
","Feb 27, 2016",UFC Fight Night: Silva vs. Bisping
"Lightweight
","Rustam Khabilov
","Norman Parke
","Decision (unanimous) (29–28, 29–28, 29–28)
","3
","5:00
","Feb 27, 2016",UFC Fight Night: Silva vs. Bisping
"Heavyweight
","Daniel Omielańczuk
","Jarjis Danho
","Technical Decision (majority) (29–29, 29–28, 29–28)
","3
","1:31
","Feb 27, 2016",UFC Fight Night: Silva vs. Bisping
"Lightweight
","Teemu Packalen
","Thibault Gouti
","Submission (rear-naked choke)
","1
","0:24
","Feb 27, 2016",UFC Fight Night: Silva vs. Bisping
"Lightweight
","David Teymur
","Martin Svensson
","TKO (head kick and punches)
","2
","1:26
","Feb 27, 2016",UFC Fight Night: Silva vs. Bisping
"Welterweight
","Donald Cerrone
","Alex Oliveira
","Submission (triangle choke)
","1
","2:33
","Feb 21, 2016",UFC Fight Night: Cowboy vs. Cowboy
"Middleweight
","Derek Brunson
","Roan Carneiro
","TKO (punches)
","1
","2:38
","Feb 21, 2016",UFC Fight Night: Cowboy vs. Cowboy
"Catchweight (142 lbs)
","Cody Garbrandt
","Augusto Mendes
","TKO (punches)
","1
","4:18
","Feb 21, 2016",UFC Fight Night: Cowboy vs. Cowboy
"Featherweight
","Dennis Bermudez
","Tatsuya Kawajiri
","Decision (unanimous) (29-28, 29-28, 29-28)
","3
","5:00
","Feb 21, 2016",UFC Fight Night: Cowboy vs. Cowboy
"Middleweight
","Chris Camozzi
","Joe Riggs
","TKO (knees)
","1
","0:26
","Feb 21, 2016",UFC Fight Night: Cowboy vs. Cowboy
"Lightweight
","James Krause
","Shane Campbell
","Decision (unanimous) (29-28, 29-28, 29-28)
","3
","5:00
","Feb 21, 2016",UFC Fight Night: Cowboy vs. Cowboy
"Welterweight
","Sean Strickland
","Alex Garcia
","KO (punches)
","3
","4:25
","Feb 21, 2016",UFC Fight Night: Cowboy vs. Cowboy
"Middleweight
","Oluwale Bamgbose
","Daniel Sarafian
","KO (head kick and punches)
","1
","1:00
","Feb 21, 2016",UFC Fight Night: Cowboy vs. Cowboy
"Middleweight
","Anthony Smith
","Leonardo Augusto Guimarães
","Decision (unanimous) (29-28, 29-28, 29-28)
","3
","5:00
","Feb 21, 2016",UFC Fight Night: Cowboy vs. Cowboy
"Welterweight
","Nathan Coy
","Jonavin Webb
","Decision (unanimous) (29-28, 29-28, 29-28)
","3
","5:00
","Feb 21, 2016",UFC Fight Night: Cowboy vs. Cowboy
"Women's Bantamweight
","Ashlee Evans-Smith
","Marion Reneau
","Decision (split) (30-27, 28-29, 29-28)
","3
","5:00
","Feb 21, 2016",UFC Fight Night: Cowboy vs. Cowboy
"Women's Bantamweight
","Lauren Murphy
","Kelly Faszholz
","TKO (elbows and punches)
","3
","4:55
","Feb 21, 2016",UFC Fight Night: Cowboy vs. Cowboy
"Heavyweight
","Shamil Abdurakhimov
","Anthony Hamilton
","Decision (unanimous) (30-27, 29-28, 29-28)
","3
","5:00
","Feb 21, 2016",UFC Fight Night: Cowboy vs. Cowboy
"Welterweight
","Stephen Thompson
","Johny Hendricks
","TKO (spinning back kick to the body and punches)
","1
","3:33
","Feb 6, 2016",UFC Fight Night: Hendricks vs. Thompson
"Heavyweight
","Roy Nelson
","Jared Rosholt
","Decision (unanimous) (30-27, 30-27, 29-28)
","3
","5:00
","Feb 6, 2016",UFC Fight Night: Hendricks vs. Thompson
"Light Heavyweight
","Ovince Saint Preux
","Rafael Cavalcante
","Decision (unanimous) (30-27, 30-27, 29-28)
","3
","5:00
","Feb 6, 2016",UFC Fight Night: Hendricks vs. Thompson
"Flyweight
","Joseph Benavidez
","Zach Makovsky
","Decision (unanimous) (30-27, 29-28, 29-28)
","3
","5:00
","Feb 6, 2016",UFC Fight Night: Hendricks vs. Thompson
"Light Heavyweight
","Misha Cirkunov
","Alex Nicholson
","Submission (neck crank)
","2
","1:28
","Feb 6, 2016",UFC Fight Night: Hendricks vs. Thompson
"Welterweight
","Mike Pyle
","Sean Spencer
","TKO (elbows and knees)
","3
","4:25
","Feb 6, 2016",UFC Fight Night: Hendricks vs. Thompson
"Lightweight
","Josh Burkman
","K.J. Noons
","Decision (unanimous) (30-27, 30-27, 30-27)
","3
","5:00
","Feb 6, 2016",UFC Fight Night: Hendricks vs. Thompson
"Heavyweight
","Derrick Lewis
","Damian Grabowski
","TKO (punches)
","1
","2:17
","Feb 6, 2016",UFC Fight Night: Hendricks vs. Thompson
"Flyweight
","Justin Scoggins
","Ray Borg
","Decision (unanimous) (30-27, 30-27, 30-26)
","3
","5:00
","Feb 6, 2016",UFC Fight Night: Hendricks vs. Thompson
"Featherweight
","Diego Rivas
","Noad Lahat
","KO (flying knee)
","2
","0:23
","Feb 6, 2016",UFC Fight Night: Hendricks vs. Thompson
"Welterweight
","Mickey Gall
","Mike Jackson
","Submission (rear-naked choke)
","1
","0:45
","Feb 6, 2016",UFC Fight Night: Hendricks vs. Thompson
"Featherweight
","Alex White
","Artem Lobov
","Decision (unanimous) (30-27, 30-27, 30-27)
","3
","5:00
","Feb 6, 2016",UFC Fight Night: Hendricks vs. Thompson
"Light Heavyweight
","Anthony Johnson
","Ryan Bader
","KO (punches)
","1
","1:26
","Jan 30, 2016",UFC on Fox: Johnson vs. Bader
"Heavyweight
","Ben Rothwell
","Josh Barnett
","Submission (gogo choke)
","2
","3:48
","Jan 30, 2016",UFC on Fox: Johnson vs. Bader
"Bantamweight
","Jimmie Rivera
","Iuri Alcântara
","Decision (unanimous) (29-28, 29-28, 29-28)
","3
","5:00
","Jan 30, 2016",UFC on Fox: Johnson vs. Bader
"Welterweight
","Bryan Barberena
","Sage Northcutt
","Submission (arm-triangle choke)
","2
","3:06
","Jan 30, 2016",UFC on Fox: Johnson vs. Bader
"Welterweight
","Tarec Saffiedine
","Jake Ellenberger
","Decision (unanimous) (29-28, 29-28, 29-28)
","3
","5:00
","Jan 30, 2016",UFC on Fox: Johnson vs. Bader
"Lightweight
","Carlos Diego Ferreira
","Olivier Aubin-Mercier
","Decision (unanimous) (29-28, 29-28, 30-27)
","3
","5:00
","Jan 30, 2016",UFC on Fox: Johnson vs. Bader
"Middleweight
","Rafael Natal
","Kevin Casey
","TKO (punches)
","3
","3:37
","Jan 30, 2016",UFC on Fox: Johnson vs. Bader
"Flyweight
","Wilson Reis
","Dustin Ortiz
","Decision (unanimous) (30-27, 30-27, 30-27)
","3
","5:00
","Jan 30, 2016",UFC on Fox: Johnson vs. Bader
"Welterweight
","Alexander Yakovlev
","George Sullivan
","KO (punch)
","1
","3:59
","Jan 30, 2016",UFC on Fox: Johnson vs. Bader
"Featherweight
","Alex Caceres
","Masio Fullen
","Decision (unanimous) (30-27, 30-27, 30-27)
","3
","5:00
","Jan 30, 2016",UFC on Fox: Johnson vs. Bader
"Welterweight
","Randy Brown
","Matt Dwyer
","Decision (unanimous) (29-28, 29-28, 29-28)
","3
","5:00
","Jan 30, 2016",UFC on Fox: Johnson vs. Bader
"Featherweight
","Damon Jackson
","Levan Makashvili
","Draw (majority) (29-27, 28-28, 28-28)
","3
","5:00
","Jan 30, 2016",UFC on Fox: Johnson vs. Bader
"Lightweight
","Tony Martin
","Felipe Olivieri
","Technical Submission (rear-naked choke)
","3
","3:02
","Jan 30, 2016",UFC on Fox: Johnson vs. Bader
"Bantamweight
","Dominick Cruz
","T.J. Dillashaw (c)
","Decision (split) (48-47, 49-46, 46-49)
","5
","5:00
","Jan 17, 2016",UFC Fight Night: Dillashaw vs. Cruz
"Lightweight
","Eddie Alvarez
","Anthony Pettis
","Decision (split) (29-28, 28-29, 29-28)
","3
","5:00
","Jan 17, 2016",UFC Fight Night: Dillashaw vs. Cruz
"Heavyweight
","Travis Browne
","Matt Mitrione
","TKO (punches)
","3
","4:09
","Jan 17, 2016",UFC Fight Night: Dillashaw vs. Cruz
"Lightweight
","Francisco Trinaldo
","Ross Pearson
","Decision (unanimous) (30-27, 29-28, 30-27)
","3
","5:00
","Jan 17, 2016",UFC Fight Night: Dillashaw vs. Cruz
"Welterweight
","Patrick Côté
","Ben Saunders
","TKO (punches)
","2
","1:14
","Jan 17, 2016",UFC Fight Night: Dillashaw vs. Cruz
"Light Heavyweight
","Ed Herman
","Tim Boetsch
","TKO (knee and punches)
","2
","1:39
","Jan 17, 2016",UFC Fight Night: Dillashaw vs. Cruz
"Lightweight
","Chris Wade
","Mehdi Baghdad
","Submission (rear-naked choke)
","1
","4:30
","Jan 17, 2016",UFC Fight Night: Dillashaw vs. Cruz
"Featherweight
","Luke Sanders
","Maximo Blanco
","Submission (rear-naked choke)
","1
","3:38
","Jan 17, 2016",UFC Fight Night: Dillashaw vs. Cruz
"Lightweight
","Paul Felder
","Daron Cruickshank
","Submission (rear-naked choke)
","3
","3:56
","Jan 17, 2016",UFC Fight Night: Dillashaw vs. Cruz
"Light Heavyweight
","Ilir Latifi
","Sean O'Connell
","KO (punches)
","1
","0:30
","Jan 17, 2016",UFC Fight Night: Dillashaw vs. Cruz
